trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
144,False,"{'a': 0.002, 'e': 0.27999999999999936}",25,14,-21.14903214000637,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.002, 'e': 0.27499999999999936}",25,8,-16.633162906761523,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.002, 'e': 0.26999999999999935}",20,0,7.834907912003798,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.002, 'e': 0.26499999999999935}",20,8,15.875616091919909,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.002, 'e': 0.25999999999999934}",25,10,21.923632375568932,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.002, 'e': 0.25499999999999934}",25,14,4.474770472805763,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.002, 'e': 0.24999999999999933}",30,14,15.370804771614354,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.002, 'e': 0.24499999999999933}",20,16,6.860399053639725,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.002, 'e': 0.23999999999999932}",30,15,25.242759359987804,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.002, 'e': 0.23499999999999932}",25,18,12.414898062936327,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.002, 'e': 0.22999999999999932}",25,0,15.40313103448991,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
155,False,"{'a': 0.002, 'e': 0.2249999999999993}",25,5,-21.877369658514564,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.002, 'e': 0.2199999999999993}",25,17,-7.87850790483172,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.002, 'e': 0.2149999999999993}",20,0,6.268640528454896,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
158,False,"{'a': 0.002, 'e': 0.2099999999999993}",20,12,15.463548072841725,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.002, 'e': 0.2049999999999993}",20,10,21.114629673829107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.002, 'e': 0.1999999999999993}",20,9,8.132490444736877,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.002, 'e': 0.19499999999999929}",25,1,15.872062553365838,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.002, 'e': 0.18999999999999928}",20,0,-34.75656209526183,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
163,False,"{'a': 0.002, 'e': 0.18499999999999928}",25,7,32.75084680904417,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.002, 'e': 0.17999999999999927}",20,0,25.659638174990533,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.002, 'e': 0.17499999999999927}",30,15,13.42692312268313,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.002, 'e': 0.16999999999999926}",20,15,7.915170738106995,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.002, 'e': 0.16499999999999926}",25,11,21.8989166609653,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.002, 'e': 0.15999999999999925}",30,23,14.164464002813904,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.002, 'e': 0.15499999999999925}",25,13,21.42537842039804,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.002, 'e': 0.14999999999999925}",25,8,-47.779417563049805,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
171,False,"{'a': 0.002, 'e': 0.14499999999999924}",30,13,28.94621811105931,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.002, 'e': 0.13999999999999924}",25,16,18.174521560803772,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.002, 'e': 0.13499999999999923}",20,2,-9.119207881342183,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.002, 'e': 0.12999999999999923}",30,18,20.030222327535494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.002, 'e': 0.12499999999999922}",20,11,11.999841706074617,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.002, 'e': 0.11999999999999922}",35,25,20.258452172730394,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.002, 'e': 0.11499999999999921}",35,21,29.385531347045728,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
